FID,SMILES,TPSA
0,[6*]C(=O)NNc1ncncc1[N+](=O)[O-],110.05000000000001
1,[5*]N1CC=C2C(C#N)=C(N)C(C#N)(C#N)C[C@@H]2C1,100.63
2,[14*]c1nc2c(c(=O)[nH]1)[C@H](c1ccccc1)[C@H](C#N)C(=O)N2,98.63999999999999
3,[14*]c1nc2c(c(=O)[nH]1)[C@@H](c1ccccc1)[C@@H](C#N)C(=O)N2,98.63999999999999
4,[14*]c1ncnc(N)c1[N+](=O)[O-],94.94
5,[14*]c1ncc2c(=O)[nH]c([O-])nc2n1,94.59
6,[9*]n1/c(=N/C=O)sc2cc(S(N)(=O)=O)ccc21,94.51999999999998
7,[14*]c1nc2[nH]c(=O)[nH]c(=O)c2[nH]1,94.4
8,[12*]S(=O)(=O)c1cccc(S(N)(=O)=O)c1,94.29999999999998
9,[12*]S(=O)(=O)c1ccc(S(N)(=O)=O)cc1,94.29999999999998
10,[6*]C(=O)NNc1ncncc1N,92.92999999999999
11,[10*]N1C(=O)NC(=O)/C(=C\N)C1=O,92.5
12,[14*]c1nc2c(c(=O)[nH]1)[C@H](C=O)CC(=O)N2,91.92
13,[1*]C(=O)[C@@H]1CC(=O)Nc2nc[nH]c(=O)c21,91.91999999999999
14,[14*]c1nc(N)nc(N)n1,90.71
15,[14*]c1ncc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)s1,90.17
16,[14*]c1nc2cc(S(N)(=O)=O)ccc2[nH]1,88.84
17,[14*]c1n[nH]c2c1[C@H](c1ccccc1)C(C#N)=C(N)O2,87.72
18,[14*]c1nc(O)c2nn[nH]c2n1,87.58
19,[14*]c1nc(=O)c2nn[nH]c2[nH]1,87.32
20,[9*]n1ncc([N+](=O)[O-])c1N,86.97999999999999
21,[7*]=C1C(C)=C(C#N)c2nc(N)c(C#N)c(C)c21,86.49000000000001
22,[16*]c1c([N+](=O)[O-])cccc1[N+](=O)[O-],86.28
23,[16*]c1cc(N)cc(S(N)(=O)=O)c1C,86.18
24,[6*]C(=O)N/N=C/c1ccccc1[N+](=O)[O-],84.6
25,[1*]C(=O)NNc1cccc([N+](=O)[O-])c1,84.27
26,[15*][C@H]1C(C#N)=C(N)O[C@H]2N=NC(C)=C21,83.76
27,[14*]c1nc2c([nH]1)c(=O)[nH]c(=O)n2C,83.53999999999999
28,[4*][C@H](CC(N)=O)C(=O)[O-],83.22
29,[16*]c1ccc2c(=O)[nH]c3n[nH]c(=O)n3c2c1,83.02
30,[12*]S(=O)(=O)c1ccc2[nH]c(=O)[nH]c2c1,82.78999999999999
31,[9*]n1ncc2c(=O)n(NC=O)cnc21,81.81
32,[9*]n1cc(C#N)c([O-])nc1=O,81.74000000000001
33,[14*]c1nnc([O-])[nH]c1=O,81.69999999999999
34,[9*]n1c(N)cc(=O)[nH]c1=O,80.88
35,[9*]n1c(=O)cc(N)[nH]c1=O,80.88
36,[12*]S(=O)(=O)c1ccc2c(c1)N(CC=O)C(=O)CO2,80.75000000000001
37,[1*]C(=O)CN1C(=O)COc2ccc([SH](=O)=O)cc21,80.75
38,[10*]N1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,80.52000000000001
39,[14*]c1ncnc2[nH]c(N)nc12,80.48
40,[8*][C@@H](CCC(=O)[O-])C(=O)[O-],80.25999999999999
41,[12*]S(=O)(=O)c1ccc2[nH]c(=O)oc2c1,80.14
42,[12*]S(=O)(=O)c1cc2oc(=O)[nH]c2cc1Cl,80.13999999999999
43,[16*]c1c([O-])[nH]c(=O)c(C#N)c1C,79.71
44,[6*]C(=O)/N=c1/[nH]c2ccc(S(C)(=O)=O)cc2s1,79.36
45,[15*][C@H]1C(C#N)=C(N)NC2=C1C(=O)CC(C)(C)C2,78.91
46,[1*]C(=O)C1=CN(C)[C@H]2C(=O)NC(=O)N=C12,78.84
47,[7*]=C1C(=O)NC(=O)N=C1O,78.76
48,[4*]CC(=O)NN1C(=O)N[C@@H](C)C1=O,78.51
49,[4*]CC(=O)NN1C(=O)NC2(CCCCC2)C1=O,78.51
50,[13*]C1NC(=O)N(NC=O)C1=O,78.51
51,[13*]C1NC(=O)N(NC(C)=O)C1=O,78.51
52,[10*]N1C(=O)[C@@H]2CN[C@]3(C(=O)Nc4ccccc43)[C@@H]2C1=O,78.51
53,[10*]N1C(=O)[C@@H]2CN[C@@]3(C(=O)Nc4ccccc43)[C@@H]2C1=O,78.51
54,[9*]n1c(=O)oc2ccc([N+](=O)[O-])cc21,78.28
55,[12*]S(=O)(=O)c1cn(C)c(=O)n(C)c1=O,78.14
56,[16*]c1cc([C@@H]2NC(=O)c3[nH]ncc32)ccc1O,78.01
57,[14*]c1n[nH]c2c1[C@H](c1ccc(O)cc1)NC2=O,78.00999999999999
58,[9*]n1/c(=N/C=O)sc2cc([N+](=O)[O-])ccc21,77.5
59,[16*]c1ccc(S(C)(=O)=O)cc1[N+](=O)[O-],77.28
60,[12*]S(=O)(=O)c1ccc([N+](=O)[O-])s1,77.28
61,[12*]S(=O)(=O)c1ccc([N+](=O)[O-])cc1Cl,77.28
62,[12*]S(=O)(=O)c1ccc([N+](=O)[O-])cc1,77.28
63,[12*]S(=O)(=O)c1cc([N+](=O)[O-])ccc1Cl,77.28
64,[12*]S(=O)(=O)c1cc([N+](=O)[O-])ccc1C,77.28
65,[12*]S(=O)(=O)c1cc([N+](=O)[O-])c(C)cc1Cl,77.28
66,[11*]SC1=NC(=O)[C@H]2CC3=C([O-])CCCC3=NC2=N1,77.21
67,[1*]C(=O)C[C@@H]1C(=O)Nc2ncnn21,76.88
68,[9*]n1cnc2[nH]nnc2c1=O,76.46000000000001
69,[9*]n1c2nc3ccccc3nc2c2c(=O)[nH]c(C)nc21,76.46000000000001
70,[9*]n1c(C)nc2[nH]c3nc4ccccc4nc3c2c1=O,76.46000000000001
71,[14*]c1c(/C(N)=N/O)cnn1C,76.43
72,[14*]c1c2c(=O)[nH]ccc2nc2ncnn12,75.94
73,[5*]N1CCn2c1nc1c2c(=O)[nH]c(=O)n1C,75.92000000000002
74,[6*]C(=O)NNC(=O)C=O,75.27000000000001
75,[16*]c1ccc(S(=O)(=O)NNC=O)cc1,75.27000000000001
76,[1*]C(=O)C(=O)NNC=O,75.27000000000001
77,[14*]c1ncnc2[nH]c(=O)[nH]c12,74.43
78,[1*]C(=O)C(=O)N/N=C\c1cc(C)[nH]c1C,74.32
79,[1*]C(=O)C(=O)N/N=C/c1cc(C)[nH]c1C,74.32
80,[12*]S(=O)(=O)CC(=O)[O-],74.27
81,[9*]n1cnc([N+](=O)[O-])n1,73.85
82,[16*]c1cc(S(N)(=O)=O)oc1C,73.30000000000001
83,[14*]c1cc(S(N)(=O)=O)c(C)o1,73.30000000000001
84,[9*]n1c(=O)[nH]c(=O)c2c1ncn2C,72.68
85,[14*]c1nc2c(c(=O)[nH]c(=O)n2C)n1C,72.68
86,[14*]c1ncnc([O-])c1C#N,72.63
87,[12*]S(=O)(=O)c1ccc2c(c1)NC(=O)CO2,72.47
88,[12*]S(=O)(=O)c1cc2c(cc1Cl)NC(=O)CO2,72.47
89,[12*]S(=O)(=O)c1cc2c(cc1C)NC(=O)CO2,72.47
90,[5*]NS(N)(=O)=O,72.19
91,[3*]OS(=O)(=O)c1cn[nH]c1,72.05000000000001
92,[14*]c1nc2cc([N+](=O)[O-])ccc2[nH]1,71.82
93,[14*]c1n[nH]c(C)c1[N+](=O)[O-],71.82
94,[14*]c1cc(N)c(=O)[nH]n1,71.77000000000001
95,[16*]c1c(N)nc[nH]c1=O,71.77
96,[14*]c1nc2c3cn[nH]c3ncn2n1,71.76
97,[15*][C@@H]1CC(=O)NC2=NC(S)=NC(=O)[C@H]21,70.89
98,[15*][C@@H]1CC(=O)NC2=NC(S)=NC(=O)[C@@H]21,70.89
99,[13*][C@@H]1NC(=O)NC2=C1C(=O)NC2,70.23
100,[5*]N1C(N)=C(C#N)CC2=C1CCCC2=O,70.12
101,[16*]c1c(N)n(C)c(=O)n(C)c1=O,70.02
102,[13*][C@H]1S/C(=C(\C#N)C=O)NC1=O,69.96000000000001
103,[13*][C@H]1OC[C@H](O)[C@H](O)[C@@H]1O,69.92
104,[13*][C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O,69.92
105,[13*][C@H]1OC[C@@H](O)[C@@H](O)[C@H]1O,69.92
106,[14*]c1ncnc2c1c(=O)n(C)c(=O)n2C,69.78
107,[9*]n1c(N)nc2cncnc21,69.62
108,[8*]CS(=O)(=O)/N=C(/C)[O-],69.56
109,[8*]CC/C([O-])=N/S(=O)(=O)c1ccccc1,69.56
110,[12*]S(=O)(=O)c1ccc2c(c1)oc(=O)n2C,69.28
111,[7*]=CC(=O)C1=C([O-])C(=O)NC1,69.22999999999999
112,[6*]C(=O)C1=C([O-])C(=O)NC1,69.22999999999999
113,[13*][C@H]1NC(=O)C([O-])=C1C(C)=O,69.22999999999999
114,[13*][C@@H]1NC(=O)C([O-])=C1C=O,69.22999999999999
115,[13*][C@@H]1NC(=O)C([O-])=C1C(C)=O,69.22999999999999
116,[14*]c1nc2ccc([N+](=O)[O-])cc2o1,69.17
117,[16*]c1cc(C)cc([N+](=O)[O-])c1N,69.16
118,[16*]c1c(C)nc2nc(N)nn2c1C,69.1
119,[9*]n1nc2n(c(=O)c1=O)CCN2,68.92
120,[14*]c1ncncc1[N+](=O)[O-],68.92
121,[14*]c1cnc2cc([N+](=O)[O-])ccc2n1,68.92
122,[7*]=C1C(=N)N2N=CSC2=NC1=O,68.88
123,[9*]n1c([O-])cc(C)c(C#N)c1=O,68.85
124,[9*]n1/c(=N/C=O)sc2cc(S(C)(=O)=O)ccc21,68.5
125,[12*]S(=O)(=O)c1cccc([SH](=O)=O)c1,68.28
126,[12*]S(=O)(=O)c1ccc([SH](=O)=O)cc1,68.28
127,[9*]n1c(=O)[nH]c2c(oc3ccccc32)c1=O,68.0
128,[14*]c1c(C#N)c(=O)n(C)c(=O)n1C,67.78999999999999
129,[16*]c1ccnc2c1c(=O)[nH]c(=O)n2C,67.75
130,[14*]c1n[nH]c(=O)n(C)c1=O,67.75
131,[9*]n1ncc(C#N)c1N,67.63
132,[14*]c1nc2ccc(N)nc2[nH]1,67.59
133,[14*]c1[nH]nnc1N,67.59
134,[13*][C@@H]1NC(=O)N=C1N,67.48
135,[13*]C1NC(N)=NC1=O,67.47999999999999
136,[14*]c1ncnc2[nH]nnc12,67.35
137,[8*]CCC(=O)NNC(N)=S,67.15
138,[8*]CC(=O)NNC(N)=S,67.15
139,[4*][C@H](C)C(=O)NNC(N)=S,67.15
140,[16*]c1cc(=O)[nH]c2ccc([SH](=O)=O)cc12,67.0
141,[16*]c1c[nH]c2ccc([SH](=O)=O)cc2c1=O,67.0
142,[12*]S(=O)(=O)c1ccc2[nH]ccc(=O)c2c1,67.0
143,[16*]c1ccc([N+](=O)[O-])cc1C#N,66.93
144,[16*]c1ccc(C#N)c([N+](=O)[O-])c1,66.92999999999999
145,[7*]=C(C#N)C(N)=O,66.88
146,[1*]C(=O)/C(C#N)=C/N,66.88
147,[5*]N1/C(=N\C(C)=O)S[C@@H]2CS(=O)(=O)C[C@@H]21,66.81
148,[5*]N1/C(=N/C=O)S[C@@H]2CS(=O)(=O)C[C@H]21,66.81
149,[10*]N1C(=O)N[C@@H]2CS(=O)(=O)C[C@@H]21,66.48
150,[13*][C@@H]1NC(=O)C(O)=C1C(C)=O,66.4
151,[6*]C(=O)C1=C(O)C(=O)NC1,66.39999999999999
152,[9*]n1ccn2c3c(=O)n(C)c(=O)n(C)c3nc12,66.22999999999999
153,[16*]c1cccc([N+](=O)[O-])c1[O-],66.2
154,[16*]c1cc(Cl)cc([N+](=O)[O-])c1[O-],66.2
155,[16*]c1c(C)[nH]c(=O)[nH]c1=O,65.72
156,[14*]c1nc([O-])c2c(n1)C[NH2+]CC2,65.45
157,[9*]n1ccc2c(nnc3cc(C)nn32)c1=O,65.08000000000001
158,[13*][C@H]1NC(=O)C(C#N)=C([S-])N1,64.92
159,[1*]C(=O)NNc1cccc(C#N)c1,64.92
160,[9*]n1cnnc1S(C)(=O)=O,64.85
161,[14*]c1ncnc2nc(N)ccc12,64.69
162,[7*]=C1C(=O)NC(=S)N=C1[O-],64.52
163,[12*]S(=O)(=O)c1ccc2oc(=O)ccc2c1,64.35
164,[13*][C@]1(O)CSC2=C(C#N)CCC(=O)N21,64.33
165,[5*]N1CN=C2N=NC(C)=C2C1=N,64.17
166,[6*]C(=O)Nn1cnc2ccccc2c1=O,63.99
167,[7*]=C(C#N)C(=O)[O-],63.92
168,[14*]c1cc(NN)ncn1,63.83
169,[5*]NC(N)=[NH2+],63.64
170,[9*]n1nn[nH]c1=O,63.57
171,[14*]c1nc2c(cnn2C)c(=O)[nH]1,63.57
172,[12*]S(=O)(=O)[C@H]1C=NC(C=O)=C1,63.57
173,[12*]S(=O)(=O)[C@H]1C(C)=NC(C)=C1C=O,63.57
174,[12*]S(=O)(=O)[C@@H]1C(C)=NC(C)=C1C=O,63.57
175,[1*]C(=O)C1=C(C)[C@H]([SH](=O)=O)C(C)=N1,63.57
176,[9*]n1c(C)cc(/C=N\NC(=O)C=O)c1C,63.46
177,[9*]n1c(C)cc(/C=N/NC(=O)C=O)c1C,63.46
178,[5*]N1c2ccc(S(N)(=O)=O)cc2C[C@@H]1C,63.4
179,[10*]N1C(=O)c2cccc(N)c2C1=O,63.4
180,[10*]N1C(=O)/C(=C/N)c2ccccc2C1=O,63.4
181,[13*][C@H]1[C@H]2[NH+]=c3ccccc3=C2C[C@H]2C(=O)NCC(=O)N21,63.38
182,[13*][C@@H]1[C@H]2[NH+]=c3ccccc3=C2C[C@H]2C(=O)NCC(=O)N21,63.38
183,[13*][C@@H]1[C@@H]2[NH+]=c3ccccc3=C2C[C@H]2C(=O)NCC(=O)N21,63.38
184,[16*]c1ccc([N+](=O)[O-])c(O)c1,63.370000000000005
185,[16*]c1ccc(O)cc1[N+](=O)[O-],63.370000000000005
186,[16*]c1cc(O)ccc1[N+](=O)[O-],63.370000000000005
187,[12*]S(=O)(=O)c1ccc2c(c1)NC(=O)CCS2,63.24
188,[16*]c1cnn2c1ncc1c(=O)[nH]ccc12,63.050000000000004
189,[16*]c1c(C)nn2c1ncc1c(=O)[nH]ccc12,63.050000000000004
190,[14*]c1nnc2[nH]c(=O)c3sccc3n12,63.05
191,[14*]c1nnc2[nH]c(=O)c3ccccc3n12,63.05
192,[14*]c1ncnc2cc(=O)[nH]n12,63.05
193,[14*]c1ccc2n[nH]c(=O)n2n1,63.05
194,[14*]c1cc2c(=O)[nH]ncn2n1,63.05
195,[16*]c1c[nH]nc1[SH](=O)=O,62.82
196,[14*]c1nc2cc([SH](=O)=O)ccc2[nH]1,62.82
197,[14*]c1nc([SH](=O)=O)c[nH]1,62.82
198,[14*]c1[nH]nc2c1CS(=O)(=O)C2,62.82
199,[12*]S(=O)(=O)c1cn[nH]c1,62.82
200,[12*]S(=O)(=O)c1ccc2[nH]cnc2c1,62.82
201,[13*]C1[NH2+]C[C@H]2C(=O)NC(=O)[C@H]12,62.78
202,[14*]c1csc(/C(C#N)=C/N)n1,62.7
203,[5*][NH+]1CCC2(CC1)NC(=O)NC2=O,62.64
204,[6*]C(=O)/N=c1\[nH]nc2cc(C)ccn12,62.519999999999996
205,[14*]c1nc2c(c(=O)[nH]1)C[NH2+]CC2,62.36
206,[6*]C(=O)N/N=C\c1ccccc1O,61.69
207,[6*]C(=O)N/N=C/c1ccccc1O,61.69
208,[6*]C(=O)N/N=C/c1cc(Br)ccc1O,61.69
209,[16*]c1cc(/C=N/NC(C)=O)ccc1O,61.69
210,[13*][C@H]1NC(=O)c2ccccc2N=C1O,61.69
211,[9*]n1c(N)nc2cnn(C)c21,61.660000000000004
212,[7*]=Cc1cc2c(cc1[N+](=O)[O-])OCO2,61.60000000000001
213,[16*]c1cc([N+](=O)[O-])cc2c1OCOC2,61.60000000000001
214,[14*]c1n[nH]c(=O)[nH]1,61.54
215,[14*]c1ccc2c(=O)[nH]c(=S)[nH]c2n1,61.54
216,[5*]N1CCC2(CC1)NC(=O)NC2=O,61.440000000000005
217,[13*][C@H]1C[C@H](O)NC(=O)N1,61.36
218,[4*]C/C([O-])=N/c1nncs1,61.2
219,[3*]OS(=O)(=O)c1cn(C)cn1,61.190000000000005
220,[10*]N1C(=O)CC(C)=C(C#N)C1=O,61.17
221,[14*]c1c([N+](=O)[O-])c(C)nn1C,60.96
222,[9*]n1ncc2cc([N+](=O)[O-])ccc21,60.959999999999994
223,[14*]c1nn(C)cc1[N+](=O)[O-],60.959999999999994
224,[10*]N1CC(C=O)=C([O-])C1=O,60.440000000000005
225,[10*]N1CC(C(C)=O)=C([O-])C1=O,60.440000000000005
226,[6*]C(=O)C1=C([O-])C(=O)N(C)C1,60.44
227,[8*][C@H](O)C(=O)[O-],60.36
228,[4*][C@H](CO)C(=O)[O-],60.36
229,[4*][C@H](C(=O)[O-])[C@@H](C)O,60.36
230,[4*][C@@H](C(=O)[O-])[C@H](C)O,60.36
231,[16*]c1ccc([N+](=O)[O-])cc1C=O,60.21
232,[14*]c1ocnc1S(=O)(=O)c1ccc(F)cc1,60.17
233,[14*]c1nc2cc([SH](=O)=O)ccc2o1,60.17
234,[12*]S(=O)(=O)c1ccc2ocnc2c1,60.17
235,[4*]CCS(N)(=O)=O,60.160000000000004
236,[16*]c1csc(S(N)(=O)=O)c1,60.160000000000004
237,[16*]c1ccc(S(N)(=O)=O)c(F)c1,60.160000000000004
238,[16*]c1cc(S(N)(=O)=O)ccc1F,60.160000000000004
239,[16*]c1ccc(S(C)(=O)=O)cc1N,60.16
240,[12*]S(=O)(=O)c1ccc(C)c(N)c1,60.16
241,[12*]S(=O)(=O)c1cc(N)ccc1F,60.16
242,[15*][C@@H]1CC(=O)c2cn3ncnc3nc2C1,60.150000000000006
243,[14*]c1nc2nc3c(cn2n1)C(=O)CCC3,60.15
244,[14*]c1nnc2c(n1)OCNc1ccccc1-2,59.93000000000001
245,[6*]C(=O)N/N=C/c1ccc2c(c1)OCO2,59.92
246,[14*]c1nnsc1S(C)(=O)=O,59.92
247,[14*]c1nc(S(C)(=O)=O)ncc1Cl,59.92
248,[14*]c1nc(C)c2ccc(S(C)(=O)=O)cc2n1,59.92
249,[16*]c1cccc([C@H]2C(C=O)=C(C)Nc3ncnn32)c1,59.81
250,[16*]c1ccc([C@H]2C3=C(CCCC3=O)Nc3ncnn32)cc1,59.81
251,[14*]c1[nH]cc2c1c(=O)n(C)c(=O)n2C,59.79
252,[14*]c1nc([O-])ccc1C#N,59.74
253,[16*]c1cccc([C@H]2NC(=O)c3oc4ccccc4c(=O)c32)c1,59.31
254,[16*]c1cccc([C@H]2NC(=O)c3oc4ccc(Cl)cc4c(=O)c32)c1,59.31
255,[16*]c1cccc([C@H]2NC(=O)c3oc4ccc(C)cc4c(=O)c32)c1,59.31
256,[16*]c1cccc([C@@H]2NC(=O)c3oc4ccc(F)cc4c(=O)c32)c1,59.31
257,[16*]c1ccc([C@@H]2NC(=O)c3oc4ccc(Cl)cc4c(=O)c32)cc1,59.31
258,[10*]N1C(=O)c2cccnc2[C@H]1N,59.22
259,[16*]c1ccc2c(c1)OC(N)=C(C#N)[C@H]2c1ccccc1,59.04
260,[16*]c1ccc2c(c1)OC(N)=C(C#N)[C@@H]2c1ccccc1,59.04
261,[1*]C(=O)[C@H]1NCCc2[nH]c[nH+]c21,59.03
262,[14*]c1noc(=O)[nH]1,58.89
263,[14*]c1n[nH]c(=O)o1,58.89
264,[8*]C[S@@](=O)c1nnc[nH]1,58.64
265,[5*]NS(=O)(=O)N1C[C@@H](C)O[C@H](C)C1,58.64
266,[5*]NS(=O)(=O)N1CCOCC1,58.64
267,[16*]c1ccnc2nc[nH]c(=O)c12,58.64
268,[14*]c1ncc2c(=O)[nH]ccc2n1,58.64
269,[14*]c1nc2ncccc2c(=O)[nH]1,58.64
270,[14*]c1cc2ncncc2c(=O)[nH]1,58.64
271,[4*][C@H](C)/C(N)=N/O,58.61
272,[4*]C/C(N)=N\O,58.61
273,[4*]C/C(N)=N/O,58.61
274,[16*]c1cccc(/C(N)=N/O)c1,58.61
275,[16*]c1ccc(/C(N)=N\O)cc1,58.61
276,[5*]NC1=N[C@H]2CS(=O)(=O)C[C@H]2S1,58.53
277,[16*]c1ccccc1/C=N/NC(=O)C=O,58.53
278,[1*]C(=O)C(=O)N/N=C\c1ccccc1,58.53
279,[8*]CCCC(=O)NNC=O,58.2
280,[8*]CCC(=O)NNC=O,58.2
281,[7*]=CC(=O)NNC(C)=O,58.2
282,[6*]C(=O)NNC(C)=O,58.2
283,[6*]C(=O)NNC(=O)CCC,58.2
284,[6*]C(=O)NNC(=O)CC(C)C,58.2
285,[5*]N/C=C1/C(=O)NC(=O)c2ccccc21,58.2
286,[4*][C@H](C)C(=O)NNC(C)=O,58.2
287,[4*]CCCC(=O)NNC=O,58.2
288,[4*]CCC(=O)NNC=O,58.2
289,[4*]CC1=C(C=O)CNC(=O)N1,58.2
290,[15*]C1CCC2(CC1)NC(=O)NC2=O,58.2
291,[13*][C@@H]1NC(=O)[C@H](C)NC1=O,58.2
292,[13*][C@@H]1NC(=O)CNC1=O,58.2
293,[1*]C(=O)NNC(C)=O,58.2
294,[1*]C(=O)C1=C(C)NC(=O)NC1,58.2
295,[9*]n1c(N)nc2c[nH+]ccc21,57.980000000000004
296,[9*]n1cnc([O-])cc1=O,57.949999999999996
297,[6*]C(=O)[C@@H](C#N)C=O,57.93
298,[12*]S(=O)(=O)c1ccc(C#N)cc1,57.93
299,[12*]S(=O)(=O)c1cc(C#N)ccc1C,57.93
300,[1*]C(=O)[C@H](C#N)C=O,57.93
301,[16*]c1cccc([C@H]2CC(=O)Nc3[nH]nc(C)c32)c1,57.78
302,[7*]=C1C(=O)N(C)C(=O)N(C)C1=O,57.690000000000005
303,[8*]CN1C(=O)[C@](O)(CC=O)c2ccccc21,57.61000000000001
304,[8*]CN1C(=O)[C@@](O)(CC=O)c2ccccc21,57.61000000000001
305,[10*]N1CC(C=O)=C(O)C1=O,57.61000000000001
306,[10*]N1CC(C(C)=O)=C(O)C1=O,57.61000000000001
307,[6*]C(=O)C[C@@]1(O)C(=O)N(C)c2ccccc21,57.61
308,[10*]N1C(=O)N(C)C2(CC[NH2+]CC2)C1=O,57.230000000000004
309,[6*]C(=O)CCC(=O)[O-],57.2
310,[4*][C@H](CC=O)C(=O)[O-],57.2
311,[1*]C(=O)CC(C)(C)CC(=O)[O-],57.2
312,[13*][C@@H]1N=NC(=O)[C@H]2C=C(c3ccccc3)NN12,57.06
313,[9*]n1ncc(=O)n(C)c1=O,56.89
314,[16*]c1ccnc2c1c(=O)n(C)c(=O)n2C,56.89
315,[14*]c1ccc2c(=O)n(C)c(=O)n(C)c2n1,56.89
316,[14*]c1cc(C)c2c(=O)n(C)c(=O)n(C)c2n1,56.89
317,[9*]n1nncc1N,56.730000000000004
318,[9*]n1cc(N)nn1,56.730000000000004
319,[9*]n1c(N)nc2cc(Br)cnc21,56.730000000000004
320,[14*]c1nncn1N,56.730000000000004
321,[14*]c1nc2n(n1)CCC[C@H]2N,56.730000000000004
322,[15*][C@H]1CNC(N2CCNCC2)=NC1=O,56.73
323,[16*]c1c[nH]c(=O)c(C#N)c1,56.65
324,[16*]c1c(C)[nH]c(=O)c(C#N)c1C,56.65
325,[14*]c1ccc(C#N)c(=O)[nH]1,56.65
326,[14*]c1[nH]c(=O)c(C#N)c(C)c1C,56.65
327,[9*]n1nnc2cncnc21,56.49
328,[14*]c1ncnc2c1nnn2C,56.49
329,[7*]=Cc1ccc([N+](=O)[O-])o1,56.28
330,[10*]N1CC(=N)NC1=O,56.190000000000005
331,[9*]n1cc([SH](=O)=O)ccc1=O,56.14
332,[5*]N1CNC(=O)C(C#N)=C1[S-],56.13
333,[16*]c1cncc([N+](=O)[O-])c1,56.03
334,[16*]c1ccncc1[N+](=O)[O-],56.03
335,[16*]c1ccc([N+](=O)[O-])c2cnccc12,56.03
336,[14*]c1ncc([N+](=O)[O-])s1,56.03
337,[14*]c1ncc([N+](=O)[O-])cc1Br,56.03
338,[14*]c1nc2cc([N+](=O)[O-])ccc2s1,56.03
339,[14*]c1ccc([N+](=O)[O-])cn1,56.03
340,[14*]c1nnc2ncnn2c1C,55.97
341,[14*]c1ccc2nnnn2n1,55.97
342,[14*]c1cc(N)[nH][nH+]1,55.95
343,[7*]=C1SC(N)=NC1=O,55.449999999999996
344,[13*][C@@H]1SC(N)=NC1=O,55.449999999999996
345,[5*]N1CC(=O)C(c2n(C)c3ccccc3[n+]2C)=C1N,55.14
346,[8*]CC(=O)NN,55.120000000000005
347,[6*]C(=O)NN,55.120000000000005
348,[4*][C@H](C)[C@@H](C)C(=O)NN,55.120000000000005
349,[4*][C@@H](C)[C@H](C)C(=O)NN,55.120000000000005
350,[14*]c1ncc2c(n1)CNC2=O,54.88
351,[9*]n1ccc(=O)[nH]c1=O,54.86
352,[9*]n1cc(C)c(=O)[nH]c1=O,54.86
353,[9*]n1cc(Br)c(=O)[nH]c1=O,54.86
354,[9*]n1c(C)cc(=O)[nH]c1=O,54.86
355,[9*]n1c(=O)c(=O)[nH]c2ccccc21,54.86
356,[9*]n1c(=O)[nH]c2ccsc2c1=O,54.86
357,[9*]n1c(=O)[nH]c(=O)c2sccc21,54.86
358,[9*]n1c(=O)[nH]c(=O)c2ccccc21,54.86
359,[9*]n1[nH]c(=O)c2ccccc2c1=O,54.86
360,[16*]c1c(C)[nH]c(=O)n(C)c1=O,54.86
361,[14*]c1n[nH]cc1N,54.7
362,[14*]c1cc(N)[nH]n1,54.7
363,[14*]c1[nH]ncc1N,54.7
364,[14*]c1[nH]ncc1C(N)=S,54.7
365,[14*]c1nc2ccc(N)cc2[nH]1,54.699999999999996
366,[14*]c1cc(N)n[nH]1,54.699999999999996
367,[6*]C(=O)N/N=C\c1ccco1,54.6
368,[4*]CC(=O)N/N=C/c1ccco1,54.6
369,[10*]N1CC(=O)N2C[C@H]3[NH+]=c4ccccc4=C3C[C@H]2C1=O,54.59
370,[14*]c1nnc(C)c2c(C)[nH]nc12,54.46
371,[14*]c1nn[nH]n1,54.46
372,[14*]c1ncnc2[nH]ncc12,54.46
373,[14*]c1ncc2cn[nH]c2n1,54.46
374,[14*]c1nc(Cl)nc2[nH]cnc12,54.46
375,[10*]N1C(=O)[C@H](C)CS1(=O)=O,54.45
376,[10*]N1C(=O)[C@@H](C)CS1(=O)=O,54.45
377,[8*]CS(=O)(=O)CCO,54.370000000000005
378,[16*]c1cccc(S(=O)(=O)O)c1,54.370000000000005
379,[15*][C@@H]1CS(=O)(=O)C[C@H]1O,54.370000000000005
380,[8*][C@H](O)CS(C)(=O)=O,54.37
381,[1*]C(=O)NNc1ncccc1Cl,54.02
382,[1*]C(=O)NNc1nc2ccccc2s1,54.02
383,[1*]C(=O)NNc1ccccn1,54.02
384,[10*]N1C(=O)[C@@H]2C[NH2+]C[C@H]2C1=O,53.99
385,[16*]c1c(C)nc2c(C#N)cnn2c1C,53.980000000000004
386,[8*][C@H](N)C[NH3+],53.66
387,[8*][C@@H](N)C[NH3+],53.66
388,[5*]NC1=NCC(=O)N1,53.49
389,[16*]c1c([O-])c2ccccc2oc1=O,53.27
390,[14*]c1sc2ncnn2c1[O-],53.25
391,[7*]=C1SC([NH-])=NC1=O,53.23
392,[15*][C@@H]1CC(=O)N=C(S)[C@H]1C#N,53.22
393,[11*]SC1=NC(=O)CC[C@@H]1C#N,53.22
394,[5*]NC(=S)NNC=O,53.16
395,[5*]NC(=S)NNC(=O)CC,53.16
396,[5*]N1CCc2c(sc(N)c2C#N)C1,53.05
